#options: 1280x720 fps=25/1 timebase=1/25 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=6 lookahead_threads=2 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=1 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=25 scenecut=40 intra_refresh=0 rc_lookahead=40 rc=crf mbtree=1 crf=32.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.40 aq=1:1.00
in:90 out:91 type:b dur:2 cpbdur:2 q:37.40 aq:32.00 tex:0 mv:0 misc:216 imb:0 pmb:0 smb:3600 d:- ref:0 ;
in:95 out:92 type:P dur:2 cpbdur:2 q:37.40 aq:23.03 tex:883 mv:157 misc:592 imb:3 pmb:53 smb:3544 d:- ref:0 ;
in:93 out:93 type:B dur:2 cpbdur:2 q:37.40 aq:30.00 tex:0 mv:0 misc:232 imb:0 pmb:0 smb:3600 d:- ref:0 ;
in:92 out:94 type:b dur:2 cpbdur:2 q:37.40 aq:32.00 tex:0 mv:0 misc:216 imb:0 pmb:0 smb:3600 d:- ref:0 ;
in:94 out:95 type:b dur:2 cpbdur:2 q:37.40 aq:32.00 tex:0 mv:0 misc:216 imb:0 pmb:0 smb:3600 d:- ref:0 ;
in:99 out:96 type:P dur:2 cpbdur:2 q:37.40 aq:24.00 tex:1136 mv:187 misc:885 imb:5 pmb:114 smb:3481 d:- ref:0 ;
in:97 out:97 type:B dur:2 cpbdur:2 q:37.40 aq:30.00 tex:0 mv:0 misc:232 imb:0 pmb:0 smb:3600 d:- ref:0 ;
in:96 out:98 type:b dur:2 cpbdur:2 q:37.40 aq:32.00 tex:0 mv:0 misc:216 imb:0 pmb:0 smb:3600 d:- ref:0 ;
in:98 out:99 type:b dur:2 cpbdur:2 q:37.40 aq:32.00 tex:0 mv:0 misc:216 imb:0 pmb:0 smb:3600 d:- ref:0 ;
in:103 out:100 type:P dur:2 cpbdur:2 q:37.40 aq:24.03 tex:1261 mv:298 misc:1057 imb:11 pmb:157 smb:3432 d:- ref:0 ;
in:101 out:101 type:B dur:2 cpbdur:2 q:37.40 aq:30.00 tex:0 mv:0 misc:232 imb:0 pmb:0 smb:3600 d:- ref:0 ;
in:100 out:102 type:b dur:2 cpbdur:2 q:37.40 aq:32.00 tex:0 mv:0 misc:216 imb:0 pmb:0 smb:3600 d:- ref:0 ;
in:102 out:103 type:b dur:2 cpbdur:2 q:37.40 aq:32.00 tex:0 mv:0 misc:216 imb:0 pmb:0 smb:3600 d:- ref:0 ;
in:107 out:104 type:P dur:2 cpbdur:2 q:37.40 aq:23.87 tex:662 mv:106 misc:704 imb:3 pmb:76 smb:3521 d:- ref:0 ;
in:105 out:105 type:B dur:2 cpbdur:2 q:37.40 aq:30.00 tex:0 mv:0 misc:232 imb:0 pmb:0 smb:3600 d:- ref:0 ;
in:104 out:106 type:b dur:2 cpbdur:2 q:37.40 aq:32.00 tex:0 mv:0 misc:216 imb:0 pmb:0 smb:3600 d:- ref:0 ;
in:106 out:107 type:b dur:2 cpbdur:2 q:37.40 aq:32.00 tex:0 mv:0 misc:216 imb:0 pmb:0 smb:3600 d:- ref:0 ;
in:111 out:108 type:P dur:2 cpbdur:2 q:37.40 aq:23.62 tex:789 mv:187 misc:816 imb:8 pmb:111 smb:3481 d:- ref:0 ;
in:109 out:109 type:B dur:2 cpbdur:2 q:37.40 aq:30.00 tex:0 mv:0 misc:232 imb:0 pmb:0 smb:3600 d:- ref:0 ;
in:108 out:110 type:b dur:2 cpbdur:2 q:37.40 aq:32.00 tex:0 mv:0 misc:216 imb:0 pmb:0 smb:3600 d:- ref:0 ;
in:110 out:111 type:b dur:2 cpbdur:2 q:37.40 aq:32.00 tex:0 mv:0 misc:216 imb:0 pmb:0 smb:3600 d:- ref:0 ;
in:115 out:112 type:P dur:2 cpbdur:2 q:37.40 aq:22.16 tex:76 mv:47 misc:309 imb:3 pmb:4 smb:3593 d:- ref:0 ;
in:113 out:113 type:B dur:2 cpbdur:2 q:37.40 aq:30.00 tex:0 mv:0 misc:232 imb:0 pmb:0 smb:3600 d:- ref:0 ;
in:112 out:114 type:b dur:2 cpbdur:2 q:37.40 aq:32.00 tex:0 mv:0 misc:216 imb:0 pmb:0 smb:3600 d:- ref:0 ;
in:114 out:115 type:b dur:2 cpbdur:2 q:37.40 aq:32.00 tex:0 mv:0 misc:216 imb:0 pmb:0 smb:3600 d:- ref:0 ;
in:119 out:116 type:P dur:2 cpbdur:2 q:37.40 aq:24.00 tex:71 mv:9 misc:280 imb:0 pmb:3 smb:3597 d:- ref:0 ;
in:117 out:117 type:B dur:2 cpbdur:2 q:37.40 aq:30.00 tex:0 mv:0 misc:232 imb:0 pmb:0 smb:3600 d:- ref:0 ;
in:116 out:118 type:b dur:2 cpbdur:2 q:37.40 aq:32.00 tex:0 mv:0 misc:216 imb:0 pmb:0 smb:3600 d:- ref:0 ;
in:118 out:119 type:b dur:2 cpbdur:2 q:37.40 aq:32.00 tex:0 mv:0 misc:216 imb:0 pmb:0 smb:3600 d:- ref:0 ;
in:123 out:120 type:P dur:2 cpbdur:2 q:37.40 aq:25.00 tex:0 mv:0 misc:240 imb:0 pmb:0 smb:3600 d:- ref:0 ;
in:121 out:121 type:B dur:2 cpbdur:2 q:37.40 aq:30.00 tex:0 mv:0 misc:232 imb:0 pmb:0 smb:3600 d:- ref:0 ;
in:120 out:122 type:b dur:2 cpbdur:2 q:37.40 aq:32.00 tex:0 mv:0 misc:216 imb:0 pmb:0 smb:3600 d:- ref:0 ;
in:122 out:123 type:b dur:2 cpbdur:2 q:37.40 aq:32.00 tex:0 mv:0 misc:216 imb:0 pmb:0 smb:3600 d:- ref:0 ;
in:127 out:124 type:P dur:2 cpbdur:2 q:37.40 aq:24.80 tex:2414 mv:377 misc:1073 imb:16 pmb:139 smb:3445 d:- ref:0 ;
in:125 out:125 type:B dur:2 cpbdur:2 q:37.40 aq:31.00 tex:0 mv:0 misc:232 imb:0 pmb:0 smb:3600 d:- ref:0 ;
in:124 out:126 type:b dur:2 cpbdur:2 q:37.40 aq:32.00 tex:0 mv:0 misc:216 imb:0 pmb:0 smb:3600 d:- ref:0 ;
in:126 out:127 type:b dur:2 cpbdur:2 q:37.40 aq:32.00 tex:0 mv:0 misc:216 imb:0 pmb:0 smb:3600 d:- ref:0 ;
in:131 out:128 type:P dur:2 cpbdur:2 q:37.40 aq:24.43 tex:1597 mv:299 misc:816 imb:22 pmb:69 smb:3509 d:- ref:0 ;
in:129 out:129 type:B dur:2 cpbdur:2 q:37.40 aq:30.00 tex:0 mv:0 misc:232 imb:0 pmb:0 smb:3600 d:- ref:0 ;
in:128 out:130 type:b dur:2 cpbdur:2 q:37.40 aq:32.00 tex:0 mv:0 misc:216 imb:0 pmb:0 smb:3600 d:- ref:0 ;
in:130 out:131 type:b dur:2 cpbdur:2 q:37.40 aq:32.00 tex:0 mv:0 misc:216 imb:0 pmb:0 smb:3600 d:- ref:0 ;
in:135 out:132 type:P dur:2 cpbdur:2 q:37.40 aq:24.09 tex:1969 mv:385 misc:1166 imb:17 pmb:172 smb:3411 d:- ref:0 ;
in:133 out:133 type:B dur:2 cpbdur:2 q:37.40 aq:30.00 tex:0 mv:0 misc:232 imb:0 pmb:0 smb:3600 d:- ref:0 ;
in:132 out:134 type:b dur:2 cpbdur:2 q:37.40 aq:32.00 tex:0 mv:0 misc:216 imb:0 pmb:0 smb:3600 d:- ref:0 ;
in:134 out:135 type:b dur:2 cpbdur:2 q:37.40 aq:32.00 tex:0 mv:0 misc:216 imb:0 pmb:0 smb:3600 d:- ref:0 ;
in:139 out:136 type:P dur:2 cpbdur:2 q:37.40 aq:24.10 tex:1271 mv:258 misc:879 imb:10 pmb:103 smb:3487 d:- ref:0 ;
in:137 out:137 type:B dur:2 cpbdur:2 q:37.40 aq:31.00 tex:0 mv:0 misc:232 imb:0 pmb:0 smb:3600 d:- ref:0 ;
in:136 out:138 type:b dur:2 cpbdur:2 q:37.40 aq:32.00 tex:0 mv:0 misc:216 imb:0 pmb:0 smb:3600 d:- ref:0 ;
in:138 out:139 type:b dur:2 cpbdur:2 q:37.40 aq:32.00 tex:0 mv:0 misc:216 imb:0 pmb:0 smb:3600 d:- ref:0 ;
in:143 out:140 type:P dur:2 cpbdur:2 q:37.40 aq:24.17 tex:1397 mv:356 misc:983 imb:27 pmb:119 smb:3454 d:- ref:0 ;
in:141 out:141 type:B dur:2 cpbdur:2 q:37.40 aq:31.00 tex:0 mv:0 misc:232 imb:0 pmb:0 smb:3600 d:- ref:0 ;
in:140 out:142 type:b dur:2 cpbdur:2 q:37.40 aq:32.00 tex:0 mv:0 misc:216 imb:0 pmb:0 smb:3600 d:- ref:0 ;
in:142 out:143 type:b dur:2 cpbdur:2 q:37.40 aq:32.00 tex:0 mv:0 misc:216 imb:0 pmb:0 smb:3600 d:- ref:0 ;
in:147 out:144 type:P dur:2 cpbdur:2 q:37.40 aq:23.55 tex:1712 mv:249 misc:919 imb:7 pmb:121 smb:3472 d:- ref:0 ;
in:145 out:145 type:B dur:2 cpbdur:2 q:37.40 aq:29.00 tex:0 mv:0 misc:232 imb:0 pmb:0 smb:3600 d:- ref:0 ;
in:144 out:146 type:b dur:2 cpbdur:2 q:37.40 aq:32.00 tex:0 mv:0 misc:216 imb:0 pmb:0 smb:3600 d:- ref:0 ;
in:146 out:147 type:b dur:2 cpbdur:2 q:37.40 aq:32.00 tex:0 mv:0 misc:216 imb:0 pmb:0 smb:3600 d:- ref:0 ;
in:151 out:148 type:P dur:2 cpbdur:2 q:37.40 aq:23.80 tex:2456 mv:505 misc:1095 imb:29 pmb:135 smb:3436 d:- ref:0 ;
in:149 out:149 type:B dur:2 cpbdur:2 q:37.40 aq:29.00 tex:0 mv:0 misc:232 imb:0 pmb:0 smb:3600 d:- ref:0 ;
